State,Annual Salary,Monthly Pay,Weeky Pay,Hourly Wage,Job Title
Nebraska,91371,7614,1757,43.93,Business Analyst
Hawaii,91285,7607,1755,43.89,Business Analyst
Alaska,89739,7478,1725,43.14,Business Analyst
Minnesota,89712,7476,1725,43.13,Business Analyst
Texas,89690,7474,1724,43.12,Business Analyst
Wyoming,88732,7394,1706,42.66,Business Analyst
Indiana,88038,7336,1693,42.33,Business Analyst
Arizona,88010,7334,1692,42.31,Business Analyst
Rhode Island,87199,7266,1676,41.92,Business Analyst
South Dakota,87125,7260,1675,41.89,Business Analyst
North Dakota,87059,7254,1674,41.86,Business Analyst
Pennsylvania,86897,7241,1671,41.78,Business Analyst
New Hampshire,86804,7233,1669,41.73,Business Analyst
Idaho,86739,7228,1668,41.70,Business Analyst
Iowa,86728,7227,1667,41.70,Business Analyst
Georgia,86516,7209,1663,41.59,Business Analyst
Connecticut,86262,7188,1658,41.47,Business Analyst
Illinois,84744,7062,1629,40.74,Business Analyst
Montana,84436,7036,1623,40.59,Business Analyst
New Mexico,83516,6959,1606,40.15,Business Analyst
Ohio,83353,6946,1602,40.07,Business Analyst
Utah,81684,6807,1570,39.27,Business Analyst
Colorado,81671,6805,1570,39.27,Business Analyst
Tennessee,81583,6798,1568,39.22,Business Analyst
Mississippi,80378,6698,1545,38.64,Business Analyst
South Carolina,78875,6572,1516,37.92,Business Analyst
Michigan,78149,6512,1502,37.57,Business Analyst
Missouri,77728,6477,1494,37.37,Business Analyst
Kansas,77279,6439,1486,37.15,Business Analyst
West Virginia,74874,6239,1439,36.00,Business Analyst
Louisiana,74802,6233,1438,35.96,Business Analyst
Alabama,74375,6197,1430,35.76,Business Analyst
Florida,74298,6191,1428,35.72,Business Analyst
Kentucky,72376,6031,1391,34.80,Business Analyst
North Carolina,72016,6001,1384,34.62,Business Analyst
Arkansas,71249,5937,1370,34.25,Business Analyst
